0 18
60 18,04
60 18,09
60 18,13
60 18,17
60 18,21
60 18,26
60 18,3
60 18,34
60 18,39
60 18,43
60 18,47
60 18,51
60 18,56
60 18,6
60 18,64
60 18,69
60 18,73
60 18,77
60 18,81
60 18,86
60 18,9
60 18,94
60 18,99
60 19,03
60 19,07
60 19,11
60 19,16
60 19,2
60 19,24
60 19,28
60 19,33
60 19,37
60 19,41
60 19,46
60 19,5
60 19,54
60 19,58
60 19,63
60 19,67
60 19,71
60 19,75
60 19,8
60 19,84
60 19,88
60 19,93
60 19,97
60 20 01
60 20 05
60 20 1
60 20 14
60 20 18
60 20 22
60 20 27
60 20 31
60 20 35
60 20 39
60 20 44
60 20 48
60 20 52
60 20 56
60 20 61
60 20 65
60 20 69
60 20 73
60 20 78
60 20 82
60 20 86
60 20 9
60 20 95
60 20 99
60 21,03
60 21,07
60 21,12
60 21,16
60 21,2
60 21,24
60 21,28
60 21,33
60 21,37
60 21,41
60 21,45
60 21,5
60 21,54
60 21,58
60 21,62
60 21,66
60 21,71
60 21,75
60 21,79
60 21,83
60 21,87
60 21,92
60 21,96
60 22
60 22,04
60 22,08
60 22,13
60 22,17
60 22,21
60 22,25
60 22,29
60 22,34
60 22,38
60 22,42
60 22,46
60 22,5
60 22,55
60 22,59
60 22,63
60 22,67
60 22,71
60 22,75
60 22,8
60 22,84
60 22,88
60 22,92
60 22,96
60 23
60 23,04
60 23,09
60 23,13
60 23,17
60 23,21
60 23,25
60 23,29
60 23,33
60 23,38
60 23,42
60 23,46
60 23,5
60 23,54
60 23,58
60 23,62
60 23,66
60 23,7
60 23,75
60 23,79
60 23,83
60 23,87
60 23,91
60 23,95
60 23,99
60 24,03
60 24,07
60 24,11
60 24,15
60 24,2
60 24,24
60 24,28
60 24,32
60 24,36
60 24,4
60 24,44
60 24,48
60 24,52
60 24,56
60 24,6
60 24,64
60 24,68
60 24,72
60 24,76
60 24,8
60 24,84
60 24,88
60 24,92
60 24,96
60 25
60 25,04
60 25,08
60 25,12
60 25,16
60 25,2
60 25,24
60 25,28
60 25,32
60 25,36
60 25,4
60 25,44
60 25,48
60 25,52
60 25,56
60 25,6
60 25,64
60 25,68
60 25,72
60 25,76
60 25,8
60 25,84
60 25,88
60 25,92
60 25,96
60 26
60 26,04
60 26,08
60 26,12
60 26,15
60 26,19
60 26,23
60 26,27
60 26,31
60 26,35
60 26,39
60 26,43
60 26,47
60 26,5
60 26,54
60 26,58
60 26,62
60 26,66
60 26,7
60 26,74
60 26,78
60 26,81
60 26,85
60 26,89
60 26,93
60 26,97
60 27,01
60 27,04
60 27,08
60 27,12
60 27,16
60 27,2
60 27,23
60 27,27
60 27,31
60 27,35
60 27,39
60 27,42
60 27,46
60 27,5
60 27,54
60 27,57
60 27,61
60 27,65
60 27,69
60 27,72
60 27,76
60 27,8
60 27,84
60 27,87
60 27,91
60 27,95
60 27,99
60 28,02
60 28,06
60 28,1
60 28,13
60 28,17
60 28,21
60 28,24
60 28,28
60 28,32
60 28,35
60 28,39
60 28,43
60 28,46
60 28,5
60 28,54
60 28,57
60 28,61
60 28,65
60 28,68
60 28,72
60 28,76
60 28,79
60 28,83
60 28,86
60 28,9
60 28,94
60 28,97
60 29,01
60 29,04
60 29,08
60 29,11
60 29,15
60 29,19
60 29,22
60 29,26
60 29,29
60 29,33
60 29,36
60 29,4
60 29,43
60 29,47
60 29,5
60 29,54
60 29,57
60 29,61
60 29,64
60 29,68
60 29,71
60 29,75
60 29,78
60 29,82
60 29,85
60 29,89
60 29,92
60 29,95
60 29,99
60 30 02
60 30 06
60 30 09
60 30 13
60 30 16
60 30 19
60 30 23
60 30 26
60 30 29
60 30 33
60 30 36
60 30 4
60 30 43
60 30 46
60 30 5
60 30 53
60 30 56
60 30 6
60 30 63
60 30 66
60 30 7
60 30 73
60 30 76
60 30 8
60 30 83
60 30 86
60 30 89
60 30 93
60 30 96
60 30 99
60 31,02
60 31,06
60 31,09
60 31,12
60 31,15
60 31,19
60 31,22
60 31,25
60 31,28
60 31,31
60 31,35
60 31,38
60 31,41
60 31,44
60 31,47
60 31,51
60 31,54
60 31,57
60 31,6
60 31,63
60 31,66
60 31,69
60 31,73
60 31,76
60 31,79
60 31,82
60 31,85
60 31,88
60 31,91
60 31,94
60 31,97
60 32
60 32,03
60 32,06
60 32,09
60 32,12
60 32,16
60 32,19
60 32,22
60 32,25
60 32,28
60 32,31
60 32,34
60 32,37
60 32,4
60 32,42
60 32,45
60 32,48
60 32,51
60 32,54
60 32,57
60 32,6
60 32,63
60 32,66
60 32,69
60 32,72
60 32,75
60 32,78
60 32,81
60 32,83
60 32,86
60 32,89
60 32,92
60 32,95
60 32,98
60 33,01
60 33,03
60 33,06
60 33,09
60 33,12
60 33,15
60 33,17
60 33,2
60 33,23
60 33,26
60 33,29
60 33,31
60 33,34
60 33,37
60 33,4
60 33,42
60 33,45
60 33,48
60 33,5
60 33,53
60 33,56
60 33,58
60 33,61
60 33,64
60 33,67
60 33,69
60 33,72
60 33,74
60 33,77
60 33,8
60 33,82
60 33,85
60 33,88
60 33,9
60 33,93
60 33,95
60 33,98
60 34,01
60 34,03
60 34,06
60 34,08
60 34,11
60 34,13
60 34,16
60 34,18
60 34,21
60 34,23
60 34,26
60 34,28
60 34,31
60 34,33
60 34,36
60 34,38
60 34,41
60 34,43
60 34,46
60 34,48
60 34,5
60 34,53
60 34,55
60 34,58
60 34,6
60 34,62
60 34,65
60 34,67
60 34,7
60 34,72
60 34,74
60 34,77
60 34,79
60 34,81
60 34,84
60 34,86
60 34,88
60 34,9
60 34,93
60 34,95
60 34,97
60 35
60 35,02
60 35,04
60 35,06
60 35,09
60 35,11
60 35,13
60 35,15
60 35,17
60 35,2
60 35,22
60 35,24
60 35,26
60 35,28
60 35,3
60 35,33
60 35,35
60 35,37
60 35,39
60 35,41
60 35,43
60 35,45
60 35,47
60 35,49
60 35,52
60 35,54
60 35,56
60 35,58
60 35,6
60 35,62
60 35,64
60 35,66
60 35,68
60 35,7
60 35,72
60 35,74
60 35,76
60 35,78
60 35,8
60 35,82
60 35,84
60 35,86
60 35,87
60 35,89
60 35,91
60 35,93
60 35,95
60 35,97
60 35,99
60 36,01
60 36,03
60 36,04
60 36,06
60 36,08
60 36,1
60 36,12
60 36,14
60 36,15
60 36,17
60 36,19
60 36,21
60 36,22
60 36,24
60 36,26
60 36,28
60 36,29
60 36,31
60 36,33
60 36,35
60 36,36
60 36,38
60 36,4
60 36,41
60 36,43
60 36,45
60 36,46
60 36,48
60 36,5
60 36,51
60 36,53
60 36,54
60 36,56
60 36,58
60 36,59
60 36,61
60 36,62
60 36,64
60 36,66
60 36,67
60 36,69
60 36,7
60 36,72
60 36,73
60 36,75
60 36,76
60 36,78
60 36,79
60 36,81
60 36,82
60 36,83
60 36,85
60 36,86
60 36,88
60 36,89
60 36,91
60 36,92
60 36,93
60 36,95
60 36,96
60 36,97
60 36,99
60 37
60 37,01
60 37,03
60 37,04
60 37,05
60 37,07
60 37,08
60 37,09
60 37,11
60 37,12
60 37,13
60 37,14
60 37,16
60 37,17
60 37,18
60 37,19
60 37,2
60 37,22
60 37,23
60 37,24
60 37,25
60 37,26
60 37,27
60 37,29
60 37,3
60 37,31
60 37,32
60 37,33
60 37,34
60 37,35
60 37,36
60 37,37
60 37,38
60 37,39
60 37,4
60 37,42
60 37,43
60 37,44
60 37,45
60 37,46
60 37,47
60 37,48
60 37,49
60 37,49
60 37,5
60 37,51
60 37,52
60 37,53
60 37,54
60 37,55
60 37,56
60 37,57
60 37,58
60 37,59
60 37,59
60 37,6
60 37,61
60 37,62
60 37,63
60 37,64
60 37,64
60 37,65
60 37,66
60 37,67
60 37,68
60 37,68
60 37,69
60 37,7
60 37,71
60 37,71
60 37,72
60 37,73
60 37,73
60 37,74
60 37,75
60 37,75
60 37,76
60 37,77
60 37,77
60 37,78
60 37,79
60 37,79
60 37,8
60 37,81
60 37,81
60 37,82
60 37,82
60 37,83
60 37,83
60 37,84
60 37,85
60 37,85
60 37,86
60 37,86
60 37,87
60 37,87
60 37,88
60 37,88
60 37,88
60 37,89
60 37,89
60 37,9
60 37,9
60 37,91
60 37,91
60 37,91
60 37,92
60 37,92
60 37,93
60 37,93
60 37,93
60 37,94
60 37,94
60 37,94
60 37,95
60 37,95
60 37,95
60 37,96
60 37,96
60 37,96
60 37,96
60 37,97
60 37,97
60 37,97
60 37,97
60 37,98
60 37,98
60 37,98
60 37,98
60 37,98
60 37,98
60 37,99
60 37,99
60 37,99
60 37,99
60 37,99
60 37,99
60 37,99
60 38
60 38
60 38
